id,cost_code,aircraft_code,year,scenario,rate_value,rate_unit,source_name,source_url,notes,date_added
1,C1,B738,2023,low,1084.36,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Opportunity cost — lease/depreciation 25% of cycle cost pro-rated by proportion incurred before cancellation,2026-05-09
2,C2,B738,2023,low,781.2,AUD_per_cancelled_sector,Fair Work Commission Qantas Short Haul EA 2024 Captain AUD 200k-300k FO AUD 111k-168k,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Captain + FO combined AUD 434/hr x 1.8 hrs sector duration,2026-05-09
3,C3,B738,2023,low,273.6,AUD_per_cancelled_sector,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,AUD $38/hr transport sector AWE x 4 cabin crew x 1.8 hrs,2026-05-09
4,C4,B738,2023,low,867.49,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Ground ops 20% of cycle cost — already mobilised at gate,2026-05-09
5,C5,B738,2023,low,1156.66,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Airport charges 8% of cycle cost — committed regardless,2026-05-09
6,C6,B738,2023,low,8.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,15 mins reservations staff at AUD $32/hr per passenger,2026-05-09
7,C7,B738,2023,low,50.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Low=own seat available Base=discounted competitor High=full fare competitor,2026-05-09
8,C8,B738,2023,low,15.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Voluntary airline policy — no mandatory AU compensation,2026-05-09
9,C9,B738,2023,low,0.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Hotel AUD $180/night x 15% overnight trigger rate,2026-05-09
10,C10,B738,2023,low,94.0,AUD_per_passenger,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,AUD $47.0/hr x 2.0 hrs wait for next available flight — SOCIAL COST not carrier cash cost,2026-05-09
11,C11,B738,2023,low,2342.23,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Reactionary multiplier 1.8 downstream sectors at 30% cost propagation — EUROCONTROL,2026-05-09
12,C12,B738,2023,low,150.0,AUD_per_cancelled_sector,Industry estimate domestic cargo rerouting,https://www.bitre.gov.au/statistics/aviation/domestic,Minor cost item — cargo secondary on domestic routes,2026-05-09
13,DD1,B738,2023,low,9.81,AUD_per_departure_delay_minute,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,At-gate fuel burn 20% of cruise rate 2650 lph x AUD $1.11/L x cause weight 1.0,2026-05-09
14,DD2,B738,2023,low,0.0,AUD_per_departure_delay_minute,Fair Work Commission Qantas Short Haul EA 2024 Captain AUD 200k-300k FO AUD 111k-168k,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,50% base / 80% high of delay minutes trigger overtime x cause weight 0.73 controllable delays only,2026-05-09
15,DD3,B738,2023,low,12.4,AUD_per_departure_delay_minute,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Ground handling 15% of per-minute cost x cause weight 0.73 controllable delays only,2026-05-09
16,DD4,B738,2023,low,0.0,AUD_per_departure_delay_minute,Airport gate holding charges — YSSY and YMML slot constraints,https://www.airservicesaustralia.com,Significant at Sydney and Melbourne only x cause weight 0.85,2026-05-09
17,DD7,B738,2023,low,15.28,AUD_per_departure_delay_minute,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,0.5 downstream delay minutes per primary minute x cause weight 0.27 airline-caused only,2026-05-09
18,DD8,B738,2023,low,529.47,AUD_per_recovery_sector,Boeing 737 Performance Manual — fuel burn increase at recovery cruise speed approximately 8-12 percent,https://www.boeing.com/commercial/737ng,10% fuel burn increase at recovery cruise speed 2650 lph x 10% x 1.8 hrs x AUD $1.11/L Applies only to airlines where arrivals_delayed < departures_delayed,2026-05-09
19,DA5,B738,2023,low,0.78,AUD_per_arrival_delay_minute_per_passenger,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,AUD $47.0/hr / 60 = $0.7833/min per passenger SOCIAL COST — not carrier cash cost Applies to arrivals_delayed count,2026-05-09
21,C1,B738,2023,base,1445.82,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Opportunity cost — lease/depreciation 25% of cycle cost pro-rated by proportion incurred before cancellation,2026-05-09
22,C2,B738,2023,base,781.2,AUD_per_cancelled_sector,Fair Work Commission Qantas Short Haul EA 2024 Captain AUD 200k-300k FO AUD 111k-168k,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Captain + FO combined AUD 434/hr x 1.8 hrs sector duration,2026-05-09
156,DD4,B717,2023,base,21.25,AUD_per_departure_delay_minute,Airport gate holding charges — YSSY and YMML slot constraints,https://www.airservicesaustralia.com,Significant at Sydney and Melbourne only x cause weight 0.85,2026-05-09
23,C3,B738,2023,base,273.6,AUD_per_cancelled_sector,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,AUD $38/hr transport sector AWE x 4 cabin crew x 1.8 hrs,2026-05-09
24,C4,B738,2023,base,1156.66,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Ground ops 20% of cycle cost — already mobilised at gate,2026-05-09
25,C5,B738,2023,base,1156.66,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Airport charges 8% of cycle cost — committed regardless,2026-05-09
26,C6,B738,2023,base,8.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,15 mins reservations staff at AUD $32/hr per passenger,2026-05-09
27,C7,B738,2023,base,150.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Low=own seat available Base=discounted competitor High=full fare competitor,2026-05-09
28,C8,B738,2023,base,25.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Voluntary airline policy — no mandatory AU compensation,2026-05-09
29,C9,B738,2023,base,27.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Hotel AUD $180/night x 15% overnight trigger rate,2026-05-09
30,C10,B738,2023,base,188.0,AUD_per_passenger,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,AUD $47.0/hr x 4.0 hrs wait for next available flight — SOCIAL COST not carrier cash cost,2026-05-09
31,C11,B738,2023,base,3122.97,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Reactionary multiplier 1.8 downstream sectors at 30% cost propagation — EUROCONTROL,2026-05-09
32,C12,B738,2023,base,250.0,AUD_per_cancelled_sector,Industry estimate domestic cargo rerouting,https://www.bitre.gov.au/statistics/aviation/domestic,Minor cost item — cargo secondary on domestic routes,2026-05-09
33,DD1,B738,2023,base,9.81,AUD_per_departure_delay_minute,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,At-gate fuel burn 20% of cruise rate 2650 lph x AUD $1.11/L x cause weight 1.0,2026-05-09
34,DD2,B738,2023,base,2.64,AUD_per_departure_delay_minute,Fair Work Commission Qantas Short Haul EA 2024 Captain AUD 200k-300k FO AUD 111k-168k,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,50% base / 80% high of delay minutes trigger overtime x cause weight 0.73 controllable delays only,2026-05-09
35,DD3,B738,2023,base,12.4,AUD_per_departure_delay_minute,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Ground handling 15% of per-minute cost x cause weight 0.73 controllable delays only,2026-05-09
36,DD4,B738,2023,base,21.25,AUD_per_departure_delay_minute,Airport gate holding charges — YSSY and YMML slot constraints,https://www.airservicesaustralia.com,Significant at Sydney and Melbourne only x cause weight 0.85,2026-05-09
37,DD7,B738,2023,base,15.28,AUD_per_departure_delay_minute,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,0.5 downstream delay minutes per primary minute x cause weight 0.27 airline-caused only,2026-05-09
38,DD8,B738,2023,base,529.47,AUD_per_recovery_sector,Boeing 737 Performance Manual — fuel burn increase at recovery cruise speed approximately 8-12 percent,https://www.boeing.com/commercial/737ng,10% fuel burn increase at recovery cruise speed 2650 lph x 10% x 1.8 hrs x AUD $1.11/L Applies only to airlines where arrivals_delayed < departures_delayed,2026-05-09
39,DA5,B738,2023,base,0.78,AUD_per_arrival_delay_minute_per_passenger,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,AUD $47.0/hr / 60 = $0.7833/min per passenger SOCIAL COST — not carrier cash cost Applies to arrivals_delayed count,2026-05-09
41,C1,B738,2023,high,1988.0,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Opportunity cost — lease/depreciation 25% of cycle cost pro-rated by proportion incurred before cancellation,2026-05-09
42,C2,B738,2023,high,781.2,AUD_per_cancelled_sector,Fair Work Commission Qantas Short Haul EA 2024 Captain AUD 200k-300k FO AUD 111k-168k,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Captain + FO combined AUD 434/hr x 1.8 hrs sector duration,2026-05-09
43,C3,B738,2023,high,273.6,AUD_per_cancelled_sector,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,AUD $38/hr transport sector AWE x 4 cabin crew x 1.8 hrs,2026-05-09
44,C4,B738,2023,high,1590.4,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Ground ops 20% of cycle cost — already mobilised at gate,2026-05-09
45,C5,B738,2023,high,1156.66,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Airport charges 8% of cycle cost — committed regardless,2026-05-09
46,C6,B738,2023,high,8.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,15 mins reservations staff at AUD $32/hr per passenger,2026-05-09
47,C7,B738,2023,high,350.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Low=own seat available Base=discounted competitor High=full fare competitor,2026-05-09
48,C8,B738,2023,high,40.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Voluntary airline policy — no mandatory AU compensation,2026-05-09
49,C9,B738,2023,high,54.0,AUD_per_passenger,Australian Consumer Law + Qantas Conditions of Carriage 2024 Note: Australia has no mandatory compensation framework,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,Hotel AUD $180/night x 15% overnight trigger rate,2026-05-09
50,C10,B738,2023,high,376.0,AUD_per_passenger,ABS Average Weekly Earnings Cat 6302.0,https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/average-weekly-earnings-australia/latest-release,AUD $47.0/hr x 8.0 hrs wait for next available flight — SOCIAL COST not carrier cash cost,2026-05-09
51,C11,B738,2023,high,4294.08,AUD_per_cancelled_sector,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Reactionary multiplier 1.8 downstream sectors at 30% cost propagation — EUROCONTROL,2026-05-09
52,C12,B738,2023,high,500.0,AUD_per_cancelled_sector,Industry estimate domestic cargo rerouting,https://www.bitre.gov.au/statistics/aviation/domestic,Minor cost item — cargo secondary on domestic routes,2026-05-09
53,DD1,B738,2023,high,9.81,AUD_per_departure_delay_minute,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,At-gate fuel burn 20% of cruise rate 2650 lph x AUD $1.11/L x cause weight 1.0,2026-05-09
54,DD2,B738,2023,high,4.22,AUD_per_departure_delay_minute,Fair Work Commission Qantas Short Haul EA 2024 Captain AUD 200k-300k FO AUD 111k-168k,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,50% base / 80% high of delay minutes trigger overtime x cause weight 0.73 controllable delays only,2026-05-09
55,DD3,B738,2023,high,12.4,AUD_per_departure_delay_minute,EUROCONTROL Standard Inputs Ed 10.0 2024 Table 12.1 IATA ACMG data USD 2022 converted to AUD,https://ansperformance.eu/economics/cba/standard-inputs/v10.0.0/chapters/aircraft_operating_costs.html,Ground handling 15% of per-minute cost x cause weight 0.73 controllable delays only,2026-05-09
