id,cause_code,cause_name,cause_description,lean_waste_category,lean_waste_description,proportion_of_delays,is_controllable,year,source_name,source_url,applicability_note
1,RC,Reactionary,Late arrival of aircraft crew passengers or baggage from previous rotation — causes knock-on delay to subsequent flights,Flow Stoppage,Upstream failure propagates through value stream — scheduling buffer and rotation planning are countermeasures,0.46,True,2023,EUROCONTROL Standard Inputs Ed 10.0 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,European proxy applied to Australian context — no Australian-specific cause breakdown published by BITRE
2,AL,Airline Operations,Airline-caused delays including ground handling turnaround issues technical faults catering boarding management,Process Defect,Controllable by airline through standard work turnaround discipline and predictive maintenance — direct Lean intervention point,0.27,True,2023,EUROCONTROL Standard Inputs Ed 10.0 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,European proxy — includes technical maintenance and handling delays
3,AT,Air Traffic Control,ATC en-route and terminal delays — slot allocation ATFM restrictions and airspace congestion particularly at Sydney and Melbourne,Infrastructure Constraint,Partially controllable — airlines can optimise slot management Australian ATC contribution estimated 3-5% from ACCC monitoring,0.14,False,2023,EUROCONTROL Ed 10.0 2024 + ACCC Airline Competition Report Nov 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,ATC proportion overlaid with ACCC Sep2024 finding: 3% of delays attributed to Airservices Australia
4,WX,Weather,Meteorological conditions causing delays — storms fog wind and visibility below minimums,External — Uncontrollable,Cannot be eliminated but schedule design should buffer for typical weather patterns — inadequate buffer is itself a defect,0.07,False,2023,EUROCONTROL Standard Inputs Ed 10.0 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,European proxy — Australian weather patterns differ particularly summer storm season in Queensland and NT
5,AP,Airport Operations,Airport infrastructure constraints — slot limits runway capacity ground movement congestion particularly at Sydney Kingsford Smith,Infrastructure Constraint,External to airline but Sydney slot constraint is a known systemic cause — policy intervention required,0.06,False,2023,EUROCONTROL Standard Inputs Ed 10.0 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,Sydney slot constraint context from ACCC competition monitoring
6,RC,Reactionary,Late arrival of aircraft crew passengers or baggage from previous rotation — causes knock-on delay to subsequent flights,Flow Stoppage,Upstream failure propagates through value stream — scheduling buffer and rotation planning are countermeasures,0.46,True,2024,EUROCONTROL Standard Inputs Ed 10.0 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,European proxy applied to Australian context — no Australian-specific cause breakdown published by BITRE
7,AL,Airline Operations,Airline-caused delays including ground handling turnaround issues technical faults catering boarding management,Process Defect,Controllable by airline through standard work turnaround discipline and predictive maintenance — direct Lean intervention point,0.27,True,2024,EUROCONTROL Standard Inputs Ed 10.0 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,European proxy — includes technical maintenance and handling delays
8,AT,Air Traffic Control,ATC en-route and terminal delays — slot allocation ATFM restrictions and airspace congestion particularly at Sydney and Melbourne,Infrastructure Constraint,Partially controllable — airlines can optimise slot management Australian ATC contribution estimated 3-5% from ACCC monitoring,0.14,False,2024,EUROCONTROL Ed 10.0 2024 + ACCC Airline Competition Report Nov 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,ATC proportion overlaid with ACCC Sep2024 finding: 3% of delays attributed to Airservices Australia
9,WX,Weather,Meteorological conditions causing delays — storms fog wind and visibility below minimums,External — Uncontrollable,Cannot be eliminated but schedule design should buffer for typical weather patterns — inadequate buffer is itself a defect,0.07,False,2024,EUROCONTROL Standard Inputs Ed 10.0 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,European proxy — Australian weather patterns differ particularly summer storm season in Queensland and NT
10,AP,Airport Operations,Airport infrastructure constraints — slot limits runway capacity ground movement congestion particularly at Sydney Kingsford Smith,Infrastructure Constraint,External to airline but Sydney slot constraint is a known systemic cause — policy intervention required,0.06,False,2024,EUROCONTROL Standard Inputs Ed 10.0 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,Sydney slot constraint context from ACCC competition monitoring
11,RC,Reactionary,Late arrival of aircraft crew passengers or baggage from previous rotation — causes knock-on delay to subsequent flights,Flow Stoppage,Upstream failure propagates through value stream — scheduling buffer and rotation planning are countermeasures,0.46,True,2025,EUROCONTROL Standard Inputs Ed 10.0 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,European proxy applied to Australian context — no Australian-specific cause breakdown published by BITRE
12,AL,Airline Operations,Airline-caused delays including ground handling turnaround issues technical faults catering boarding management,Process Defect,Controllable by airline through standard work turnaround discipline and predictive maintenance — direct Lean intervention point,0.27,True,2025,EUROCONTROL Standard Inputs Ed 10.0 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,European proxy — includes technical maintenance and handling delays
13,AT,Air Traffic Control,ATC en-route and terminal delays — slot allocation ATFM restrictions and airspace congestion particularly at Sydney and Melbourne,Infrastructure Constraint,Partially controllable — airlines can optimise slot management Australian ATC contribution estimated 3-5% from ACCC monitoring,0.14,False,2025,EUROCONTROL Ed 10.0 2024 + ACCC Airline Competition Report Nov 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,ATC proportion overlaid with ACCC Sep2024 finding: 3% of delays attributed to Airservices Australia
14,WX,Weather,Meteorological conditions causing delays — storms fog wind and visibility below minimums,External — Uncontrollable,Cannot be eliminated but schedule design should buffer for typical weather patterns — inadequate buffer is itself a defect,0.07,False,2025,EUROCONTROL Standard Inputs Ed 10.0 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,European proxy — Australian weather patterns differ particularly summer storm season in Queensland and NT
15,AP,Airport Operations,Airport infrastructure constraints — slot limits runway capacity ground movement congestion particularly at Sydney Kingsford Smith,Infrastructure Constraint,External to airline but Sydney slot constraint is a known systemic cause — policy intervention required,0.06,False,2025,EUROCONTROL Standard Inputs Ed 10.0 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,Sydney slot constraint context from ACCC competition monitoring
16,RC,Reactionary,Late arrival of aircraft crew passengers or baggage from previous rotation — causes knock-on delay to subsequent flights,Flow Stoppage,Upstream failure propagates through value stream — scheduling buffer and rotation planning are countermeasures,0.46,True,2023,EUROCONTROL Standard Inputs Ed 10.0 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,European proxy applied to Australian context — no Australian-specific cause breakdown published by BITRE
17,AL,Airline Operations,Airline-caused delays including ground handling turnaround issues technical faults catering boarding management,Process Defect,Controllable by airline through standard work turnaround discipline and predictive maintenance — direct Lean intervention point,0.27,True,2023,EUROCONTROL Standard Inputs Ed 10.0 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,European proxy — includes technical maintenance and handling delays
18,AT,Air Traffic Control,ATC en-route and terminal delays — slot allocation ATFM restrictions and airspace congestion particularly at Sydney and Melbourne,Infrastructure Constraint,Partially controllable — airlines can optimise slot management Australian ATC contribution estimated 3-5% from ACCC monitoring,0.14,False,2023,EUROCONTROL Ed 10.0 2024 + ACCC Airline Competition Report Nov 2024,https://www.eurocontrol.int/sites/default/files/2024-05/eurocontrol-standard-inputs-economic-analyses-ed-10.pdf,ATC proportion overlaid with ACCC Sep2024 finding: 3% of delays attributed to Airservices Australia
